,NameCorp,Cusip6,Cusip9
502,"Herbst Gaming, Inc.",42799Y,938
503,"Hercules Offshore, Inc.",427093,109
504,"Hercules Offshore, Inc. (2016)",427093,307
505,"Hertz Global Holdings, Inc. (Hertz Corporation)",42806J,106
506,Hexcel Corp.,428291,108
507,Hexion Inc.,60899Z,001
508,"hhgregg, Inc.",42833L,108
509,Hi-Crush Inc.,428337,109
510,High Voltage Engineering Corporation (2005),429812,100
511,"Highland Superstores, Inc.",430771,105
512,"Highlands Insurance Group, Inc.",431032,101
513,HighPoint Resources Corporation,43114K,207
514,Hills Department Stores Inc.,431692,102
515,Hillsborough Holdings Corp.,933169,104
516,"Hines Horticulture, Inc.",433245,107
517,Hoku Corporation,434711,107
518,"Home Holdings, Inc.",436934,103
519,HomeBanc Corp.,43738R,109
520,Horizon PCS Inc.,44043U,209
521,"Hornbeck Offshore Services, Inc.",440543,106
522,Horsehead Holding Corp.,440694,305
523,"House of Fabrics, Inc.",441759,107
524,HRT Industries Inc.,404269,201
525,Huffy Corp.,444356,109
526,Hunt International Resources Corp.,445628,10
527,Huntsman Polymers Corp,447015,942
528,Hvide Marine Incorporated,81169P,101
529,"ICG Communications, Inc.",449246,206
530,ICH Corporation,44926L,300
531,"iHeartMedia, Inc.",45174J,103
532,Illinois Power Generating Company,023608,003
533,Impath Inc.,45255G,101
534,"Imperial Capital Bancorp, Inc.",452680,101
535,Imperial Sugar Company,453096,208
536,"IMPSAT Fiber Networks, Inc.",45321T,202
537,Inacom Corp.,45323G,109
538,"Indalex Holdings Finance, Inc.",FDS1A8,9B3
539,"IndyMac Bancorp, Inc",456607,100
540,"InPhonic, Inc.",45772G,105
541,InSight Health Services Holdings Corp,45776K,102
542,Insilco Corp.,457661,106
543,"Integrated Electrical Services, Inc.",45811E,301
544,"Integrated Health Services, Inc.",45812C,106
545,Integrated Resources Inc.,458124,104
546,"Integrity Bancshares, Inc.",45818G,101
547,Intelsat S.A.,L5140P,101
548,Interco Inc.,360921,100
549,Intermark Inc.,896755,402
550,Intermet Corp.,45881K,104
551,Internap Corporation,45885A,409
552,International American Homes Inc.,459004,404
553,"International Fibercom, Inc.",45950T,101
554,International Shipholding Corporation,460321,201
555,International Wire Group Inc.,460933,104
556,Interstate Bakeries Corporation,46072H,108
557,"iPCS, Inc.",44980Y,305
558,Iridium LLC (six omitted),46268K,006
559,Irwin Financial Corporation,464119,106
560,"IT Group, Inc.",465266,104
561,"ITC DeltaCom, Inc.",45031T,872
562,Itel Corporation,035290,105
563,"Ithaca Industries, Inc.",030365,100
564,"ITT Educational Services, Inc.",45068B,109
565,"IWO Holdings, Inc.",45071T,402
566,"J. C. Penney Company, Inc.",708160,106
567,"J. Crew Group, Inc.",46699D,001
568,J.G. Wentworth Company,46618D,108
569,Jackson Hewitt Tax Service Inc.,468202,106
570,"Jacobson Stores, Inc.",469834,105
571,James River Coal Company,470355,207
572,Jamesway Corporation (1993),470737,107
573,"Jason Industries, Inc.",471172,106
574,Jayhawk Acceptance Corp.,36113L,101
575,JCC Holding Co.,46611Q,403
576,Jesup Group Inc.,477066,203
577,"Jones Energy, Inc.",48019R,306
578,Journal Register Company,481138,105
579,JPS Textile Group Inc. (1991),46624E,405
580,"JPS Textile Group, Inc. (1997)",46624E,405
581,"JumboSports, Inc.",481386,100
582,"Just For Feet, Inc.",48213P,106
583,JWP Inc.,29084Q,100
584,Kaiser Aluminum Corp.,483007,704
585,"Kaiser Group International, Inc.",483059,101
586,Kaiser Steel Corp.,48399Y,004
587,"Kash N Karry Food Stores, Inc.",48577P,106
588,"Kasper A.S.L., Ltd.",485808,109
589,"KCS Energy, Inc.",482434,206
590,KDT Industries Inc.,482455,102
591,"Kellstrom Industries, Inc.",488035,106
592,"Kenetech Corp. (Kenetech Windpower, Inc. only)",488878,109
593,"Kevco, Inc.",492716,105
594,"Key Energy Services, Inc.",492914,106
595,Kinder Care Learning Centers Inc.,494521,305
596,"KIT digital, Inc.",482470,200
597,"Kitty Hawk, Inc.",498326,206
598,Kmart Corp.,812350,106
599,Koger Properties Inc.,500230,107
600,"Koll Real Estate Group, Inc.",129915,203
601,"Komag, Inc.",500453,204
602,Laclede Steel Company (1998),505606,103
603,Ladish Co. Inc.,50599Y,933
604,"LandAmerica Financial Group, Inc.",514936,103
